airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price,day,holiday
대한항공,2023-08-01,16:40,17:40,PUS,CJU,60,일반석,102700,화요일,평일
제주항공,2023-08-01,17:05,18:00,PUS,CJU,55,일반석,99700,화요일,평일
에어부산,2023-08-01,17:30,18:30,PUS,CJU,60,일반석,99700,화요일,평일
에어부산,2023-08-01,18:00,19:00,PUS,CJU,60,일반석,99700,화요일,평일
진에어,2023-08-01,19:00,20:00,PUS,CJU,60,일반석,95700,화요일,평일
진에어,2023-08-01,19:00,20:00,PUS,CJU,60,비즈니스석,150700,화요일,평일
대한항공,2023-08-01,19:15,20:15,PUS,CJU,60,할인석,93700,화요일,평일
대한항공,2023-08-01,19:15,20:15,PUS,CJU,60,일반석,102700,화요일,평일
대한항공,2023-08-01,19:15,20:15,PUS,CJU,60,비즈니스석,162700,화요일,평일
대한항공,2023-08-01,21:00,22:00,PUS,CJU,60,할인석,93700,화요일,평일
대한항공,2023-08-01,21:00,22:00,PUS,CJU,60,일반석,102700,화요일,평일
제주항공,2023-08-01,08:00,09:00,CJU,PUS,60,할인석,89600,화요일,평일
제주항공,2023-08-01,08:00,09:00,CJU,PUS,60,일반석,99700,화요일,평일
에어부산,2023-08-01,08:30,09:35,CJU,PUS,65,할인석,88390,화요일,평일
에어부산,2023-08-01,08:30,09:35,CJU,PUS,65,일반석,99700,화요일,평일
아시아나항공,2023-08-01,08:30,09:30,CJU,PUS,60,일반석,99700,화요일,평일
대한항공,2023-08-01,08:45,09:45,CJU,PUS,60,할인석,93700,화요일,평일
대한항공,2023-08-01,08:45,09:45,CJU,PUS,60,일반석,102700,화요일,평일
에어부산,2023-08-01,09:10,10:10,CJU,PUS,60,할인석,90130,화요일,평일
에어부산,2023-08-01,09:10,10:10,CJU,PUS,60,일반석,99700,화요일,평일
아시아나항공,2023-08-01,09:10,10:10,CJU,PUS,60,일반석,99700,화요일,평일
에어부산,2023-08-01,09:40,10:40,CJU,PUS,60,할인석,92740,화요일,평일
에어부산,2023-08-01,09:40,10:40,CJU,PUS,60,일반석,99700,화요일,평일
아시아나항공,2023-08-01,09:40,10:40,CJU,PUS,60,일반석,99700,화요일,평일
에어부산,2023-08-01,09:50,10:50,CJU,PUS,60,할인석,94480,화요일,평일
에어부산,2023-08-01,09:50,10:50,CJU,PUS,60,일반석,99700,화요일,평일
에어부산,2023-08-01,10:15,11:15,CJU,PUS,60,일반석,99700,화요일,평일
진에어,2023-08-01,10:30,11:30,CJU,PUS,60,일반석,95700,화요일,평일
진에어,2023-08-01,10:30,11:30,CJU,PUS,60,비즈니스석,150700,화요일,평일
에어부산,2023-08-01,13:10,14:10,CJU,PUS,60,일반석,99700,화요일,평일
아시아나항공,2023-08-01,06:50,08:00,CJJ,CJU,70,일반석,117700,화요일,평일
아시아나항공,2023-08-01,06:50,08:00,CJJ,CJU,70,비즈니스석,174700,화요일,평일
대한항공,2023-08-01,14:05,15:15,CJJ,CJU,70,일반석,114700,화요일,평일
에어로케이,2023-08-01,14:45,15:55,CJJ,CJU,70,일반석,106700,화요일,평일
