airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price
대한항공,2023-10-01,07:00,08:00,PUS,CJU,60,일반석,102700
대한항공,2023-10-01,07:00,08:00,PUS,CJU,60,비즈니스석,162700
진에어,2023-10-01,07:40,08:45,PUS,CJU,65,일반석,95700
에어부산,2023-10-01,08:00,09:00,PUS,CJU,60,일반석,99700
제주항공,2023-10-01,08:05,09:05,PUS,CJU,60,일반석,99700
제주항공,2023-10-01,09:10,10:10,PUS,CJU,60,일반석,99700
에어부산,2023-10-01,11:35,12:35,PUS,CJU,60,일반석,99700
에어부산,2023-10-01,11:50,12:50,PUS,CJU,60,일반석,99700
진에어,2023-10-01,12:05,13:10,PUS,CJU,65,일반석,95700
진에어,2023-10-01,12:05,13:10,PUS,CJU,65,비즈니스석,150700
제주항공,2023-10-01,12:20,13:20,PUS,CJU,60,일반석,99700
에어부산,2023-10-01,13:25,14:20,PUS,CJU,55,일반석,99700
아시아나항공,2023-10-01,13:25,14:20,PUS,CJU,55,일반석,99700
대한항공,2023-10-01,14:00,15:00,PUS,CJU,60,일반석,102700
진에어,2023-10-01,14:20,15:20,PUS,CJU,60,일반석,95700
에어부산,2023-10-01,14:40,15:40,PUS,CJU,60,일반석,99700
제주항공,2023-10-01,14:40,15:40,PUS,CJU,60,일반석,99700
에어부산,2023-10-01,15:00,15:55,PUS,CJU,55,일반석,99700
제주항공,2023-10-01,15:30,16:50,PUS,CJU,80,일반석,99700
에어부산,2023-10-01,16:40,17:40,PUS,CJU,60,일반석,99700
대한항공,2023-10-01,16:40,17:40,PUS,CJU,60,일반석,102700
제주항공,2023-10-01,17:00,18:00,PUS,CJU,60,일반석,99700
에어부산,2023-10-01,18:00,19:00,PUS,CJU,60,일반석,99700
진에어,2023-10-01,19:00,20:00,PUS,CJU,60,일반석,95700
진에어,2023-10-01,19:00,20:00,PUS,CJU,60,비즈니스석,150700
대한항공,2023-10-01,19:15,20:15,PUS,CJU,60,일반석,102700
대한항공,2023-10-01,19:15,20:15,PUS,CJU,60,비즈니스석,162700
에어부산,2023-10-01,19:35,20:40,PUS,CJU,65,일반석,99700
대한항공,2023-10-01,21:00,22:00,PUS,CJU,60,일반석,102700
대한항공,2023-10-01,21:00,22:00,PUS,CJU,60,비즈니스석,162700
에어부산,2023-10-01,08:30,09:35,CJU,PUS,65,일반석,99700
진에어,2023-10-01,10:30,11:30,CJU,PUS,60,일반석,95700
아시아나항공,2023-10-01,06:50,08:00,CJJ,CJU,70,일반석,117700
진에어,2023-10-01,07:20,08:35,CJJ,CJU,75,일반석,107700
이스타항공,2023-10-01,07:45,08:50,CJJ,CJU,65,일반석,108600
에어로케이,2023-10-01,08:20,09:25,CJJ,CJU,65,일반석,106700
대한항공,2023-10-01,09:05,10:15,CJJ,CJU,70,일반석,114700
